project	precision	recall	accuracy	f-measure	
ecf 40%	0.6853932584269663	0.07109557109557109	0.509512485136742	15.524590163934427
ecf 50%	0.6962025316455697	0.07649513212795549	0.5089221984296931	14.50909090909091
ecf 60%	0.671875	0.07504363001745201	0.5084745762711864	14.813953488372093
ecf 70%	0.6938775510204082	0.08	0.5172413793103449	13.941176470588236
ecf 80%	0.7096774193548387	0.0763888888888889	0.5098039215686274	14.499999999999998
ecf 90%	0.6666666666666666	0.06944444444444445	0.505338078291815	15.899999999999999

eclipse.jdt.core 40%	0.2135633551457466	0.9822161422708618	0.25049365303244003	5.7005571030640665
eclipse.jdt.core 50%	0.21126255380200862	0.9816666666666667	0.25186188219363576	5.752122241086587
eclipse.jdt.core 60%	0.21473214285714284	0.985655737704918	0.2529610829103215	5.671517671517671
eclipse.jdt.core 70%	0.21759809750297265	0.9838709677419355	0.25437112239142695	5.612021857923497
eclipse.jdt.core 80%	0.21428571428571427	0.9836065573770492	0.2521150592216582	5.683333333333334
eclipse.jdt.core 90%	0.21543985637342908	0.9836065573770492	0.2571912013536379	5.658333333333333

eclipse.jdt.debug 40%	0.4523121387283237	0.9484848484848485	0.5695652173913044	3.2651757188498403
eclipse.jdt.debug 50%	0.4706896551724138	0.9578947368421052	0.5835509138381201	3.168498168498169
eclipse.jdt.debug 60%	0.4610244988864143	0.9495412844036697	0.5872756933115824	3.2222222222222223
eclipse.jdt.debug 70%	0.47041420118343197	0.9520958083832335	0.5934782608695652	3.1761006289308176
eclipse.jdt.debug 80%	0.4851063829787234	0.9661016949152542	0.5928338762214984	3.0964912280701755
eclipse.jdt.debug 90%	0.47368421052631576	0.9818181818181818	0.6038961038961039	3.1296296296296298

eclipse.jdt.ui 40%	0.9771359807460891	0.38428774254614295	0.7986884245844136	3.625615763546798
eclipse.jdt.ui 50%	0.9771428571428571	0.3890784982935154	0.8005124450951684	3.5935672514619883
eclipse.jdt.ui 60%	0.974910394265233	0.384180790960452	0.797300388927019	3.6286764705882355
eclipse.jdt.ui 70%	0.9709443099273608	0.38045540796963945	0.7971942665446783	3.658354114713217
eclipse.jdt.ui 80%	0.9776951672862454	0.369901547116737	0.7923147301006405	3.726235741444867
eclipse.jdt.ui 90%	0.9642857142857143	0.3629032258064516	0.7785910338517841	3.7925925925925927

eclipse.pde.ui 40%	0.771689497716895	0.27682227682227684	0.6929084661043424	4.908284023668639
eclipse.pde.ui 50%	0.7790368271954674	0.270935960591133	0.6932883389576303	4.974545454545455
eclipse.pde.ui 60%	0.78515625	0.24632352941176472	0.6860356138706654	5.333333333333334
eclipse.pde.ui 70%	0.7643979057591623	0.2453781512605042	0.6914428482198626	5.383561643835617
eclipse.pde.ui 80%	0.8031496062992126	0.2595419847328244	0.703842549203374	5.098039215686274
eclipse.pde.ui 90%	0.7058823529411765	0.1956521739130435	0.6947565543071161	6.527777777777777

tomcat70 40%	0.9733333333333334	0.10735294117647058	0.448868778280543	10.342465753424657
tomcat70 50%	0.9830508474576272	0.10104529616724739	0.4386536373507057	10.913793103448276
tomcat70 60%	0.9791666666666666	0.10398230088495575	0.4491180461329715	10.638297872340425
tomcat70 70%	1.0	0.09198813056379822	0.44665461121157324	11.870967741935484
tomcat70 80%	1.0	0.09292035398230089	0.4444444444444444	11.761904761904761
tomcat70 90%	1.0	0.09821428571428571	0.4540540540540541	11.181818181818182

